seller_id,latitude,longitude
3442f8959a84dea7ee197c632cb2df15,-22.89384803253408,-47.06133702244195
d1b65fc7debc3361ea86b5f14c68d2e2,-22.38343651404282,-46.947926542619655
ce3ad9de960102d0677a81f5d0bb7b2d,-22.909572437655484,-43.177703112986904
c0f3eea2e14555b6faeea3dd58c1b1c3,-23.65724198521615,-46.612830839593656
51a04a8a6bdcb23deccc82b0b80742cf,-22.964802783097714,-46.53441931528525
c240c4061717ac1806ae6ee72be3533b,-22.89524485967227,-43.231902550437
e49c26c3edfa46d227d5121a6b6e4d37,-9.024839005157318,-36.57020044972058
1b938a7ec6ac5061a66a3766e0e75f90,-21.437402661479663,-50.07693057198177
768a86e36ad6aae3d03ee3c6433d61df,-23.56843915687453,-46.634555491641365
ccc4bbb5f32a6ab2b7066a4130f114e3,-25.456933882855157,-49.30945498395365
8cb7c5ddf41f4d506eba76e9a4702a25,-16.33320358612409,-48.93962957040374
a7a9b880c49781da66651ccf4ba9ac38,-22.252002596014556,-47.81543112451409
8bd0f31cf0a614c658f6763bd02dea69,-23.545944543973,-46.64936937401519
05a48cc8859962767935ab9087417fbb,-23.579830303024895,-46.75751352696019
7b8e8ec35bad4b0ef7e3963650b0a87b,-28.478878471630875,-48.99587861083375
1444c08e64d55fb3c25f0f09c07ffcf2,-12.893166748087063,-38.33787462509412
166e8f1381e09651983c38b1f6f91c11,-28.231882617674767,-48.67933195388163
e38db885400cd35c71dfd162f2c1dbcf,-15.76795567997682,-47.89101172793277
d2e753bb80b7d4faa77483ed00edc8ca,-16.432027097855745,-39.07562867228171
f9ec7093df3a7b346b7bcf7864069ca3,-23.484769700217907,-46.73414273203396
4e6015589b781adaa5ce7f1892d06bb1,-23.983786906789252,-46.24074680750369
4cf490a58259286ada5ba8525ba9e84a,-21.737063142421785,-48.68760090111701
f7496d659ca9fdaf323c0aae84176632,-23.631765715208406,-46.62313404323022
2ff97219cb8622eaf3cd89b7d9c09824,-23.202746267669983,-47.295866446946924
8bd0e3abda539b9479c4b44a691be1ec,-27.77657590438832,-54.23551840843681
2a1348e9addc1af5aaa619b1a3679d6b,-19.960059611364837,-43.96164848633418
2078fe5066350e7d220c0ad3a3bbc6c1,-23.424820380972882,-51.433661455899596
116ccb1a1604bc88e4d234a8c23f33de,-23.72523110437849,-46.582035021221365
430315b7bb4b6e4b3c978f9dfa9b0558,-23.7639730208048,-46.68808147880211
406822777a0b9eb5c50e442dd4cd3ec5,-23.04955173261455,-47.83762131131264
4dbd95a08b31ede5c82d3f861cb1ce1a,-25.440487711584133,-49.24440387666875
e9e446d01bd10a97a8ffcfc4a3a20cb2,-23.467505149821427,-46.577296212716455
d52cbce9845184537284a23c3bc3da0e,-28.038737678812907,-48.631463327998624
d9a84e1403de8da0c3aa531d6d108ba6,-23.54485288651954,-46.496724221497885
9c690ceacd5c66731bf443ea810195cb,-22.75549974414299,-46.14001332890425
1f9ab4708f3056ede07124aad39a2554,-21.930547778284403,-50.49834751389763
1961c3e1272bfeceb05d0b78b5bbfdaf,-23.446977376078497,-46.42668333499848
d3e7d37c0df9aef383f3f2a15b0dddfb,-25.499611064183387,-49.17715331430011
ec2e006556300a79a5a91e4876ab3a56,-23.54876817034105,-46.528726088626264
b2a6d334e2833acea353624840e25a0e,-23.621738061326916,-46.6183837748097
d3674f271c91f824f82d24d92011f669,-15.847901414408227,-48.11250056242789
768de2a4fc06aacecb9a586ccc30746a,-15.781852449476983,-47.934055062534235
a81466620e46a6970b22ef40379fdfc9,-28.32938171277176,-49.176644834659655
5c030029b5916fed0986310385ec9009,-27.585486027486752,-48.57989012662318
c0f783394e37cd9c9d7f5f81141450fa,-22.71690158165374,-47.64018826320613
c353f8fc0ce8344999f17d578eb69a5e,-30.06578689555878,-51.225993882131974
8444e55c1f13cd5c179851e5ca5ebd00,-21.865404185877193,-45.65082349975035
28a26ebce31d5918b181ede016fd693b,-19.867541102807987,-43.89948356702756
41ab63a91b8b264e8c8780368bf1dd5b,-19.841600785453995,-43.98022183612361
8759e7aedd644f487315e5860962f162,-23.630386001373815,-46.50749026337425
e546117ed9cafbc40239c0c78635c584,-23.621530849176292,-46.69518819682693
d71d863e5ef30d94e440c11be17dcd8f,-23.566932612528717,-46.80093561012173
0c7533c71df861ec58ad7ff999ed0e8d,-22.975458140722314,-47.00268239234955
ef990a83bbea832f36ebe81376335aa8,-26.328275192563538,-48.88032525991248
41e0fa5761c886a630994a55c12087e7,-23.943377092119317,-46.19790613152642
0747d5bb69f0586cc869d8af4c50f93e,-22.923756548355588,-42.50447966854643
7d294cf9a6a69dc6a0c3e540fff0e039,-26.660970150266756,-48.691953317317825
c89cf7c468a48af70aada384e722f9e2,-22.408608081087024,-43.13140914649253
b7ba853e9551f4558440881fd3e5c815,-29.833102764742073,-50.52008406269422
13c2ed7698b3ca92dad49e849219da59,-25.094349162546603,-50.16088307377575
cbbd5ae8f53de5f5097cd8217b529e24,-23.463703230285848,-46.85247290281744
02ecc2a19303f05e59ce133fd923fff7,-23.68151425230396,-46.50092180775806
c013e57c075a06e5b5c48ee03c525719,-22.005220870242518,-47.85621631942498
55f7a3319d80f7fdf078b8f03e6725fe,-23.566292989796676,-46.78782137212703
2d50d6282f8aa2257819a77bfaa0efe0,-21.75732063771276,-48.82974353343716
b7e1750c1157341d2abd0251e07c186b,-23.61064127024898,-46.74785398743359
b90e891671cffd9557f33a97dc523645,-25.542326473535166,-49.182195147235376
a416b6a846a11724393025641d4edd5e,-23.515977900238102,-46.54737185794936
7e93a43ef30c4f03f38b393420bc753a,-23.489687895881,-46.95291515814414
5206cc4bc2297c833e6061c49bf9c43f,-23.527692837305906,-46.80134979266691
